breakdown,segment,decile_or_segment,predicted_pd,observed_pd,n
decile,all,1,0.101848,0.048713,35309
decile,all,2,0.121089,0.094851,35308
decile,all,3,0.139318,0.129829,35308
decile,all,4,0.157439,0.165118,35308
decile,all,5,0.177622,0.199071,35309
decile,all,6,0.202186,0.232384,35308
decile,all,7,0.234976,0.269599,35308
decile,all,8,0.28259,0.31888,35308
decile,all,9,0.363145,0.370681,35308
decile,all,10,0.546481,0.496729,35309
grade,A,A,0.11159,0.070962,57608
grade,B,B,0.159499,0.15998,105788
grade,C,C,0.238883,0.261343,107070
grade,D,D,0.33638,0.355462,49153
grade,E,E,0.47331,0.436528,22443
grade,F,F,0.549154,0.52352,8546
grade,G,G,0.575087,0.559596,2475
vintage,2016,2016,0.232906,0.232859,293105
vintage,2017,2017,0.231516,0.231251,59978
