analysis_type,scenario,total_ecl,change_from_baseline_pct,n_stage2,stage2_share_pct
SICR_threshold,multiplier_1.25x,411741114.0,2.0332,,4.548
SICR_threshold,multiplier_1.50x,405974421.0,0.6041,,1.076
SICR_threshold,multiplier_2.00x_current,403536501.0,0.0,,0.0494
SICR_threshold,multiplier_2.50x,403418423.0,-0.0293,,0.0015
SICR_threshold,multiplier_3.00x,403413586.0,-0.0305,,0.0
SICR_threshold,absolute_pd_>5pct,435716463.0,7.9745,,80.1281
SICR_threshold,all_stage1_floor,403413586.0,-0.0305,,0.0
SICR_threshold,all_lifetime_ceiling,435716463.0,7.9745,,80.1281
overlay_weights,60_30_10,393552003.0,0.6986,,
overlay_weights,50_30_20_current,390821719.0,-0.0,,
overlay_weights,40_40_20,388403648.0,-0.6187,,
overlay_weights,33_33_33,386375317.0,-1.1377,,
overlay_weights,40_30_30,388091435.0,-0.6986,,
overlay_weights,30_40_30,385673364.0,-1.3173,,
overlay_weights,100_baseline,403536501.0,3.2533,,
overlay_weights,100_adverse,379355791.0,-2.9338,,
overlay_weights,100_severe,376233658.0,-3.7327,,
single_feature_stress,sub_grade=G5,443390919.0,9.8763,,
single_feature_stress,grade=G,404331280.0,0.197,,
single_feature_stress,int_rate=30.99,420545042.0,4.2149,,
single_feature_stress,term_months=60,414651193.0,2.7543,,
single_feature_stress,fico_range_low=660,411737399.0,2.0323,,
