Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 28188.50)",44426,0.05374520326540883,34723,9703,0.21840813937784181,-0.21282941668538857,0.0025993338745281505,0.0003243048887463379
"[28188.50, 37103.50)",72657,0.08789819550836918,56892,15765,0.2169784053842025,-0.20443415152062938,0.003912490193632136,0.00048821140424006124
"[37103.50, 45636.50)",97522,0.11797910486762707,77119,20403,0.20921433112528456,-0.1581288576799571,0.0030982761484130614,0.00038688152455297
"[45636.50, 50400.88)",62607,0.07574001577538943,49936,12671,0.20238950916031753,-0.11637032451993434,0.0010635541372961059,0.00013286930382427464
"[50400.88, 60995.50)",116010,0.14034531649979917,93001,23009,0.19833635031462804,-0.09107179018536415,0.0011976454518210907,0.00014965396669219767
"[60995.50, 65796.50)",49418,0.05978437075068594,40067,9351,0.18922255048767656,-0.0327268288189515,6.469451146699971e-05,8.086453063356393e-06
"[65796.50, 70720.04)",44893,0.0543101654480259,36615,8278,0.18439400351947965,-0.0009399930450944005,4.800199554659152e-08,6.000249225434408e-09
"[70720.04, 75495.50)",43812,0.05300240502102579,35985,7827,0.17864968501780334,0.037726297905479544,7.454015992379568e-05,9.316967472299312e-06
"[75495.50, 85125.50)",69950,0.08462335047979444,57873,12077,0.17265189421015012,0.07915154504903699,0.0005169725127601722,6.460470054520909e-05
"[85125.50, 100220.00)",80723,0.09765619329207215,67831,12892,0.15970665114031937,0.1726157614037378,0.0027529097037882126,0.0003436871283782582
"[100220.00, 127923.00)",71589,0.08660616208002865,61079,10510,0.14681026414672646,0.27204433112477755,0.00586925312709901,0.0007314026233371648
"[127923.00, inf)",72997,0.08830951701177348,63179,9818,0.13449867802786417,0.37395793958762513,0.010931727528799947,0.0013585590008398218
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.032081445351524226,0.003997583961941177
