Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 7.24)",80357,0.0972134177913487,69983,10374,0.12909889617581544,0.4211530872511353,0.01502353134240059,0.0018641845805311037
"[7.24, 8.99)",42223,0.05108008187717456,36441,5782,0.1369395826918978,0.35314827856050224,0.0056783292174218776,0.0007061256371979356
"[8.99, 10.70)",49316,0.05966097429966465,42243,7073,0.1434220131397518,0.2993573493178445,0.004851736939176486,0.000604212697196425
"[10.70, 12.36)",54559,0.06600379383598434,46466,8093,0.14833483018383767,0.2599247796079447,0.004099750391270446,0.0005110310358752731
"[12.36, 14.55)",78342,0.09477573299911445,66056,12286,0.1568252023180414,0.19424587214180522,0.003359427807149395,0.0004192695307910872
"[14.55, 15.72)",43097,0.052137420094749115,35922,7175,0.16648490614195885,0.12295056729399834,0.000757780735176691,9.466297418725877e-05
"[15.72, 17.13)",52334,0.06331205752694156,43342,8992,0.1718194672679329,0.08499025640721691,0.00044511206913722373,5.562226886778802e-05
"[17.13, 19.27)",77004,0.09315706190630581,63007,13997,0.18176977819334061,0.01660621816016583,2.5555013567167323e-05,3.194339992156265e-06
"[19.27, 21.04)",60520,0.07321522760596368,48999,11521,0.19036682088565762,-0.04016815954839137,0.00011963259558838988,1.4953069191499919e-05
"[21.04, 23.16)",65434,0.07916003309928334,52211,13223,0.20208148668887735,-0.11446112914835083,0.0010747733094177143,0.00013427337324042063
"[23.16, 25.05)",51728,0.0625789374355798,40809,10919,0.21108490566037735,-0.1693983379441133,0.0018924508469964345,0.00023627392052086782
"[25.05, 27.44)",53102,0.06424116021698419,41137,11965,0.22532108018530375,-0.25287435375670686,0.004438707350213656,0.0005533648214415274
"[27.44, 30.12)",48400,0.05855282577872839,36994,11406,0.2356611570247934,-0.3111803876335768,0.006231970287655089,0.0007758683945611683
"[30.12, inf)",70185,0.08490764622479446,50688,19497,0.27779440051293014,-0.5323680036199478,0.02813161400352494,0.0034755056805512007
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,3,3.6293073829790325e-06,2,1,0.3333333333333333,-0.7946494116716415,2.860560581301867e-06,3.4844934550017706e-07
,826604,1.0,674300,152304,0.1842526772190795,,0.07613323246927739,0.009448890773491214
