Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 666.50)",74286,0.0898689094173268,55908,18378,0.2473952023261449,-0.37524340668762,0.014166906351244351,0.0017605462670966573
"[666.50, 671.50)",72765,0.08802885057415642,55623,17142,0.23558029272314987,-0.31073139992445165,0.00934096613737931,0.001162945892553023
"[671.50, 676.50)",73841,0.08933056215551824,57025,16816,0.22773256050161833,-0.2666376381957303,0.006890336412258936,0.0008587496659961886
"[676.50, 681.50)",65919,0.07974677112619828,51579,14340,0.21753970782323762,-0.2077348144972413,0.0036688333537869956,0.0004577813405615156
"[681.50, 686.50)",65089,0.07874266275024075,51176,13913,0.21375347600977124,-0.18534957494349014,0.002864613290782328,0.0003575649763357708
"[686.50, 691.50)",57422,0.069467362848474,46028,11394,0.19842569050189823,-0.09163358632857843,0.0006002445514342999,7.500432951855636e-05
"[691.50, 696.50)",55767,0.06746519494219723,45167,10600,0.1900765685799846,-0.0382838616513943,0.00010007816154356435,1.250900629077992e-05
"[696.50, 701.50)",50315,0.06086953365819667,41162,9153,0.18191394216436452,0.015637214016039236,1.4810540761524738e-05,1.8512987333871279e-06
"[701.50, 711.50)",85982,0.10401836913443438,71717,14265,0.1659068177060315,0.127122241628703,0.0016139875570158595,0.00020161270980145708
"[711.50, 721.50)",65898,0.07972136597451743,56298,9600,0.1456796867886734,0.2810993198305902,0.005751066264779593,0.0007165257664741515
"[721.50, 731.50)",47072,0.05694625237719633,40920,6152,0.13069340584636302,0.4070451166484961,0.008259863939271816,0.0010254137016022366
"[731.50, 756.50)",63500,0.07682033960638952,56508,6992,0.11011023622047245,0.6018189904645967,0.022805496238380435,0.002808431322172395
"[756.50, inf)",48748,0.058973825435153955,45189,3559,0.07300812341019118,1.0535774956291455,0.0459870000949162,0.005496438441973229
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.12206420289355521,0.014935374719109346
