Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 3537.50)",42730,0.051693434824898014,36863,5867,0.13730400187222092,0.35006831579406894,0.005652519568829581,0.0007029790753683885
"[3537.50, 7012.50)",132137,0.1598552632215668,112907,19230,0.14553077487758917,0.2822963191727901,0.011625707088874913,0.0014484071839731359
"[7012.50, 9012.50)",78061,0.09443578787424207,66113,11948,0.15305978657716401,0.223004906644376,0.004370560991372168,0.0005451908834731298
"[9012.50, 10012.50)",78121,0.09450837402190167,65037,13084,0.16748377516928867,0.11576963680676444,0.0012206752134531272,0.00015249924919862263
"[10012.50, 12012.50)",83990,0.10160850903213631,67702,16288,0.1939278485533992,-0.0631095110203399,0.0004127756732288284,5.158839832069824e-05
"[12012.50, 15012.50)",99316,0.12014943068264852,79909,19407,0.1954065810141367,-0.07254193073181336,0.0006467973885877472,8.08319508281332e-05
"[15012.50, 28012.50)",247554,0.2994831866286638,195518,52036,0.21020060269678534,-0.16407993217255612,0.00848322705801324,0.0010592154637711765
"[28012.50, inf)",64695,0.07826601371394283,50251,14444,0.2232630033232862,-0.2410452484081127,0.004896456563869962,0.0006105796019856558
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.037308719546229566,0.004651291806918941
