Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 3.56)",74440,0.09005521386298639,63033,11407,0.1532375067168189,0.22163460449767425,0.004118614460035914,0.0005137756691705022
"[3.56, 4.12)",50850,0.0615167601414946,40911,9939,0.19545722713864308,-0.07286402867364883,0.0003341423990036144,4.175856265203784e-05
"[4.12, 4.39)",73368,0.08875834135813522,58670,14698,0.20033257005779087,-0.10357949940049771,0.0009835505186006495,0.00012288888475426966
"[4.39, 4.52)",54157,0.06551746664666515,42981,11176,0.20636298170134978,-0.14080705660690263,0.0013570841422467354,0.000169495519049114
"[4.52, 4.81)",156933,0.18985269851101616,125590,31343,0.19972217443112666,-0.0997649158621221,0.0019494017407132495,0.00024357421331872367
"[4.81, 5.15)",124857,0.15104814397220434,100113,24744,0.19817871645162066,-0.09008007959570552,0.0012606725735781886,0.00015753081399360767
"[5.15, 6.43)",67846,0.08207799623519847,55181,12665,0.1866727588951449,-0.016020184552141048,2.1171655547307228e-05,2.6464286436342333e-06
"[6.43, 8.04)",49208,0.05953031923387741,40601,8607,0.17491058364493578,0.06342027894730795,0.00023466110334331619,2.9327723084005214e-05
"[8.04, 10.30)",105425,0.1275399102835215,88475,16950,0.16077780412615603,0.1646556001734809,0.0032798682779613965,0.0004095210260267072
"[10.30, inf)",69520,0.08410314975490077,58745,10775,0.15499136939010358,0.20818081479813744,0.003408609371916354,0.00042530842564201827
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.016947776242946726,0.00211582726633462
