Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 161.97)",81606,0.09872441943179563,70621,10985,0.1346102002303752,0.3730002526263583,0.012162355500209276,0.0015115420709494185
"[161.97, 220.08)",78497,0.0949632472139017,67053,11444,0.14578901104500808,0.28022118403661733,0.006809852936527124,0.0008484574212085459
"[220.08, 251.43)",41800,0.05056834953617451,35038,6762,0.16177033492822968,0.15731789029634924,0.0011899507428446742,0.00014859064702458093
"[251.43, 337.48)",149315,0.18063667729650473,121414,27901,0.1868599939724743,-0.017252929482021173,5.4062125259615355e-05,6.7576818445242316e-06
"[337.48, 506.31)",213189,0.257909470556639,170225,42964,0.20153009770672972,-0.11103805659835708,0.003291914758123407,0.0004112780817763992
"[506.31, 608.67)",80916,0.09788967873371046,62858,18058,0.22316970685649315,-0.2405071779892185,0.006095862561185907,0.0007601516190781539
"[608.67, 918.03)",139947,0.16930356010858888,113370,26577,0.18990760788012606,-0.03718596630008464,0.00023686613953692552,2.960656163521181e-05
"[918.03, inf)",41334,0.05000459712268511,33721,7613,0.1841825131852712,0.00046688412877227137,1.0898434752372028e-08,1.3623043344485771e-09
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.029840875662121683,0.003716385445821169
