Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 6.65)",45371,0.054888435091047225,43802,1569,0.03458156090895065,1.8414444124578928,0.10064865972172181,0.011059114331106526
"[6.65, 7.88)",48110,0.05820199273170708,45479,2631,0.054687175223446266,1.3620900866639647,0.06833821085379915,0.007937687510216567
"[7.88, 8.65)",58811,0.07114773216679329,54033,4778,0.0812433048239275,0.9377763298878254,0.04572646255613525,0.005515162024051966
"[8.65, 9.74)",51470,0.0622668170006436,46569,4901,0.09522051680590635,0.763699225553419,0.02816802929431604,0.0034378577768296344
"[9.74, 10.64)",44096,0.05334597945328114,38884,5212,0.1181966618287373,0.5218226034646372,0.012233972199824082,0.001512128857573473
"[10.64, 11.18)",42147,0.050988139423472426,37074,5073,0.12036443875008898,0.5011869644907578,0.010862264687017746,0.0013437483932351732
"[11.18, 12.22)",62928,0.07612835166536819,54184,8744,0.1389524535977625,0.3362213188067784,0.007714407138820219,0.000959784361580643
"[12.22, 13.18)",85623,0.10358406201760456,71242,14381,0.1679572077595973,0.11237804900722637,0.0012620362757333845,0.00015767157624129065
"[13.18, 14.47)",96699,0.11698346487556315,77331,19368,0.20029162659386343,-0.10332390173813333,0.001289827792388279,0.00016115679366087527
"[14.47, 15.38)",49852,0.06030941055209024,39092,10760,0.21583888309395813,-0.19771430448863603,0.00250582751005231,0.0003127192506815588
"[15.38, 16.38)",53311,0.06449400196466507,40518,12793,0.2399692371180432,-0.334948418745725,0.008007779172818693,0.0009963193402914156
"[16.38, 17.78)",63691,0.07705140550977252,45606,18085,0.28394906658711594,-0.5628401708236898,0.028765744410482505,0.0035489954560783115
"[17.78, 19.98)",65151,0.07881766843615565,44124,21027,0.3227425519178524,-0.7466000663107489,0.05422008148704282,0.0066243594834069445
"[19.98, inf)",59344,0.0717925391118359,36362,22982,0.3872674575357239,-1.0289836197699476,0.09978056717087945,0.011949893143396902
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.46952387027103176,0.055516598298351275
