Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 3537.50)",42690,0.05164504405979163,36830,5860,0.13726868118997423,0.35036653463646594,0.005656291162203029,0.0007034420529809363
"[3537.50, 7012.50)",131954,0.15963387547120508,112753,19201,0.14551283022871606,0.28244063232524996,0.011620924224970701,0.0014478064095781971
"[7012.50, 9012.50)",77994,0.09435473334268889,66052,11942,0.1531143421288817,0.2225841202443546,0.004350946997245515,0.000542748429873589
"[9012.50, 10012.50)",78121,0.09450837402190167,65036,13085,0.16749657582468222,0.11567783451961278,0.0012187761781859378,0.000152262136957793
"[10012.50, 12037.50)",83953,0.1015637475744129,67683,16270,0.19379891129560586,-0.06228447290580941,0.00040177334982973063,5.0213552481726074e-05
"[12037.50, 15012.50)",99141,0.11993772108530808,79760,19381,0.19548925268052572,-0.07306767129661451,0.0006551572746663871,8.187644643942345e-05
"[15012.50, 28012.50)",247847,0.2998376489830681,195781,52066,0.21007314996752027,-0.16331204919550646,0.008411997164566257,0.001050332686466482
"[28012.50, inf)",64904,0.07851885546162371,50405,14499,0.22339147047947738,-0.2417858972567386,0.0049435951053506,0.0006164485417277784
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.03725946145701815,0.004645130256505925
