Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 15.45)",49160,0.05947225031574974,42610,6550,0.13323840520748575,0.3848273256330734,0.0077678799263948385,0.0009650375405499522
"[15.45, 23.55)",43391,0.052493092218281065,37020,6371,0.14682768316010233,0.2719052717794135,0.003553956112681837,0.0004428810489282937
"[23.55, 32.95)",72594,0.08782198005332663,61019,11575,0.15944843926495303,0.17454109888086777,0.0025296320518819215,0.0003158032407498666
"[32.95, 38.15)",50564,0.06117076617098393,42098,8466,0.1674313741001503,0.116145499291332,0.0007951269582566628,9.933504240730606e-05
"[38.15, 42.55)",45835,0.055449767966281316,37860,7975,0.173993672957347,0.06978690487868189,0.0002641249431848645,3.3008919818239215e-05
"[42.55, 47.95)",60428,0.07310392884621898,49573,10855,0.17963526841861388,0.03102393511544488,6.967331328248457e-05,8.70881490896546e-06
"[47.95, 51.65)",43714,0.05288384764651514,35643,8071,0.18463192569886078,-0.0025212084295620496,3.364233882164555e-07,4.2052912389189045e-08
"[51.65, 56.55)",59410,0.07187238387426144,48190,11220,0.18885709476519105,-0.03034296167389572,6.680750525617227e-05,8.350617810530883e-06
"[56.55, 63.15)",80119,0.0969254927389657,64725,15394,0.19213919295048615,-0.05162688970611118,0.00026256068023440776,3.281644065890148e-05
"[63.15, 74.65)",129737,0.15695181731518357,103906,25831,0.19910280028056762,-0.09588526899050742,0.0014868899572305434,0.0001857900771409138
"[74.65, 79.65)",49684,0.06010616933864341,39487,10197,0.2052370984622816,-0.13391864780052298,0.0011237964031708789,0.00014036967363125147
"[79.65, 90.45)",88216,0.1067209933656261,70091,18125,0.2054615942686134,-0.13529439519134612,0.002037411222596697,0.0002544823411362654
"[90.45, inf)",53308,0.06449037265728208,41730,11578,0.21719066556614391,-0.20568304328493836,0.002906839034574152,0.00036271573462539307
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,444,0.0005371374926808968,348,96,0.21621621621621623,-0.1999423039249486,2.283891951029686e-05,2.8501190603327714e-06
,826604,1.0,674300,152304,0.1842526772190795,,0.022887873451643975,0.002852191664338601
