Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"<ArrowStringArray>
['A1', 'A2']
Length: 2, dtype: str",45381,0.05490053278232382,43829,1552,0.034199334523258636,1.852954684754602,0.10155880171212497,0.011142638243956157
"<ArrowStringArray>
['A3', 'A4']
Length: 2, dtype: str",57671,0.06976859536126126,54405,3266,0.05663158259783947,1.3250934746231153,0.078498163441275,0.009152037051345452
"<ArrowStringArray>
['A5']
Length: 1, dtype: str",43378,0.052477365219621486,40042,3336,0.07690534372262438,0.9973598265214205,0.03738055023087478,0.004488052073026235
"<ArrowStringArray>
['B1']
Length: 1, dtype: str",42734,0.05169827390140865,38783,3951,0.09245565591800439,0.7962167026252174,0.02514006822414668,0.0030620440985046774
"<ArrowStringArray>
['B2']
Length: 1, dtype: str",46842,0.05666800547783461,41985,4857,0.10368899705392597,0.6690948560403318,0.02032335722514506,0.002494067483148201
"<ArrowStringArray>
['B3']
Length: 1, dtype: str",53247,0.06441657674049485,46937,6310,0.11850432888237834,0.5188740082195249,0.01462092809157267,0.0018073860192590772
"<ArrowStringArray>
['B4']
Length: 1, dtype: str",52211,0.06316325592423942,45175,7036,0.13476087414529506,0.3717074173713937,0.007730890970589065,0.0009608362438866579
"<ArrowStringArray>
['B5']
Length: 1, dtype: str",46477,0.05622643974623883,39567,6910,0.1486756890504981,0.2572292075006919,0.003423423124199382,0.0004267520028902053
"<ArrowStringArray>
['C1']
Length: 1, dtype: str",49623,0.060032373421856175,41212,8411,0.16949801503335146,0.10139251087093482,0.0005975182828303244,7.465780829213689e-05
"<ArrowStringArray>
['C2']
Length: 1, dtype: str",48358,0.05850201547536668,39306,9052,0.18718722858679018,-0.019405141025083505,2.2164599260286176e-05,2.770531438091859e-06
"<ArrowStringArray>
['C3']
Length: 1, dtype: str",45671,0.05525136582934513,36223,9448,0.20687088086531935,-0.1439053949340503,0.001196489081886584,0.000149432217626453
"<ArrowStringArray>
['C4']
Length: 1, dtype: str",43859,0.053059264170025794,33756,10103,0.23035180920677625,-0.2814708223814617,0.004580552749323995,0.0005706864551580141
"<ArrowStringArray>
['C5', 'D1']
Length: 2, dtype: str",70488,0.08527420627047534,53309,17179,0.24371524231074793,-0.35537912742387845,0.011989022579860856,0.0014907911124803115
"<ArrowStringArray>
['D2', 'D3']
Length: 2, dtype: str",51245,0.06199461894692017,37082,14163,0.276378183237389,-0.5252978457881844,0.01996043662177547,0.0024667579427812888
"<ArrowStringArray>
['D4', 'D5']
Length: 2, dtype: str",41992,0.050800625208685175,29034,12958,0.30858258715945897,-0.681042393220116,0.028618664192602904,0.003509762783960353
"<ArrowStringArray>
['E1', 'E2', 'E3']
Length: 3, dtype: str",43169,0.05222452347194061,27787,15382,0.3563205077717807,-0.8964263014402267,0.05359438544520081,0.006483630829356097
"<ArrowStringArray>
['E4', 'F1', 'E5', 'F2', 'F3', 'G2', 'F4', 'G1', 'G4', 'F5', 'G3', 'G5']
Length: 12, dtype: str",44258,0.053541962051962,25868,18390,0.415518098422884,-1.1465969472634703,0.09445964322917129,0.011200395534184972
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.5036950598018402,0.05948269843129439
