Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 5.45)",294019,0.3556951091453707,234575,59444,0.20217741030341577,-0.11505591895179634,0.0048805649014201586,0.0006097343339102525
"[5.45, 5.75)",128088,0.15495690802367276,102709,25379,0.19813721816251328,-0.08981890565836337,0.0012857033123205358,0.00016065891327520562
"[5.75, 6.15)",67020,0.08107872693575158,54230,12790,0.19083855565502836,-0.04322594696936877,0.00015356621610659307,1.9194282695714e-05
"[6.15, 6.40)",63817,0.07720383641985763,52002,11815,0.18513875613081154,-0.005884323490195076,2.678171341696468e-06,3.347709347359992e-07
"[6.40, 6.85)",62305,0.0753746654988362,52209,10096,0.16204156969745606,0.15531899578970254,0.0017300184000252395,0.00021603519233827492
"[6.85, 8.25)",168459,0.2037964974764216,141890,26569,0.15771790168527652,0.18751039465624775,0.006746336782702213,0.0008420588375197668
"[8.25, inf)",42896,0.051894256500089525,36685,6211,0.14479205520328237,0.28824944635720473,0.0039271929419570665,0.0004892066593039745
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,826604,1.0,674300,152304,0.1842526772190795,,0.018726060725873503,0.002337222989977924
