bin_low,bin_high,count,pct_of_total
0.0,1344.93,964854,81.79
1344.93,2689.86,65178,5.53
2689.86,4034.79,38526,3.27
4034.79,5379.72,28709,2.43
5379.72,6724.65,23139,1.96
6724.65,8069.58,17020,1.44
8069.58,9414.51,12204,1.03
9414.51,10759.44,8749,0.74
10759.44,12104.38,6038,0.51
12104.38,13449.31,4367,0.37
13449.31,14794.24,3152,0.27
14794.24,16139.17,2210,0.19
16139.17,17484.1,1977,0.17
17484.1,18829.03,1392,0.12
18829.03,20173.96,1081,0.09
20173.96,21518.89,618,0.05
21518.89,22863.82,354,0.03
22863.82,24208.75,89,0.01
24208.75,25553.68,20,0.0
25553.68,26898.61,10,0.0
