months_remaining,count,pct
0,800634,67.87
1,19651,1.67
2,20868,1.77
3,24193,2.05
4,21802,1.85
5,15817,1.34
6,24323,2.06
7,21310,1.81
8,17847,1.51
9,21505,1.82
10,16048,1.36
11,19258,1.63
12,18235,1.55
13,7172,0.61
14,6382,0.54
15,10189,0.86
16,7763,0.66
17,6385,0.54
18,9800,0.83
19,7666,0.65
20,8762,0.74
21,5865,0.5
22,6436,0.55
23,9848,0.83
24,4653,0.39
25,3449,0.29
26,4544,0.39
27,5137,0.44
28,4904,0.42
29,3681,0.31
30,4133,0.35
31,4072,0.35
32,4022,0.34
33,3475,0.29
34,3053,0.26
35,3770,0.32
36,3035,0.26
