purpose,count,ecl,ecl_per_loan,funded,coverage_to_funded
car,12426,1850106.954,148.89,108562975.0,0.017
credit_card,263587,72866949.5439,276.4436,3918700825.0,0.0186
debt_consolidation,690871,269820860.953,390.5517,10487001475.0,0.0257
educational,326,0.0,0.0,2177125.0,0.0
home_improvement,73979,24770492.6056,334.8314,1038715325.0,0.0238
house,5300,2004250.6722,378.1605,79441350.0,0.0252
major_purchase,24705,7489005.376,303.1372,283583075.0,0.0264
medical,12689,2752519.194,216.9217,112873525.0,0.0244
moving,7963,1404132.5849,176.3321,61632075.0,0.0228
other,63673,14821569.0165,232.7764,617908875.0,0.024
renewable_energy,810,167639.3091,206.9621,7925000.0,0.0212
small_business,13711,4788755.8334,349.2638,209923050.0,0.0228
vacation,7355,798280.5609,108.5358,45518625.0,0.0175
wedding,2292,1937.9617,0.8455,24011250.0,0.0001
