issue_year,count,ecl,ecl_per_loan,funded,coverage_to_funded
2007,249,0.0,0.0,2147975.0,0.0
2008,1562,0.0,0.0,13457075.0,0.0
2009,4716,0.0,0.0,46324425.0,0.0
2010,11536,0.0,0.0,116706400.0,0.0
2011,21721,0.0,0.0,257363650.0,0.0
2012,53367,0.0,0.0,717942625.0,0.0
2013,134804,0.0,0.0,1982607275.0,0.0
2014,223103,17111642.1565,76.6984,3253489500.0,0.0053
2015,375546,144224321.5168,384.039,5498601150.0,0.0262
2016,293105,177520137.4554,605.6537,4240361600.0,0.0419
2017,59978,64680399.4365,1078.4021,868972875.0,0.0744
