feature,importance_gain,importance_std
sub_grade,0.07389500932412314,0.0005794667506438742
term_months,0.014048918164552485,0.00032391378833574087
int_rate,0.00962414606966655,0.00010538813857528828
fico_range_low,0.008744513348322677,0.00032463119966683843
dti,0.007007979137266769,5.771582776489422e-05
home_ownership,0.005571350487393767,0.00013190422123834458
loan_amnt,0.0050066914239261795,8.222520625307841e-05
mort_acc,0.004466555726981181,0.00013144287030586417
annual_inc,0.003960978288365798,3.835199154190373e-05
funded_amnt,0.00286931068571065,8.252458874244464e-07
inq_last_6mths,0.002255239151969161,0.00011190580393833925
verification_status,0.001528061518974259,6.050606266555617e-05
installment,0.0006022692839993496,5.936901257532945e-05
revol_util,0.0004706779428823582,4.624050369616556e-05
grade,0.0003593612446658086,2.1668776266286734e-05
fico_range_high,0.0,0.0
unrate,0.0,0.0
issue_year,0.0,0.0
hpi_yoy,-0.00016311607765118197,3.452510435297279e-05
