grade,purpose,lgd_estimate,source,n_defaulters_used
A,car,0.895674,grade_fallback,8154
A,credit_card,0.896227,segment,2763
A,debt_consolidation,0.89399,segment,4099
A,educational,0.895674,grade_fallback,8154
A,home_improvement,0.895674,grade_fallback,8154
A,house,0.895674,grade_fallback,8154
A,major_purchase,0.895674,grade_fallback,8154
A,medical,0.895674,grade_fallback,8154
A,moving,0.895674,grade_fallback,8154
A,other,0.895674,grade_fallback,8154
A,renewable_energy,0.895674,grade_fallback,8154
A,small_business,0.895674,grade_fallback,8154
A,vacation,0.895674,grade_fallback,8154
A,wedding,0.895674,grade_fallback,8154
B,car,0.896673,grade_fallback,29063
B,credit_card,0.898821,segment,8152
B,debt_consolidation,0.894668,segment,16759
B,educational,0.896673,grade_fallback,29063
B,home_improvement,0.899121,segment,1589
B,house,0.896673,grade_fallback,29063
B,major_purchase,0.892064,segment,511
B,medical,0.896673,grade_fallback,29063
B,moving,0.896673,grade_fallback,29063
B,other,0.901791,segment,925
B,renewable_energy,0.896673,grade_fallback,29063
B,small_business,0.896673,grade_fallback,29063
B,vacation,0.896673,grade_fallback,29063
B,wedding,0.896673,grade_fallback,29063
C,car,0.895723,grade_fallback,45871
C,credit_card,0.898983,segment,9674
C,debt_consolidation,0.894889,segment,28981
C,educational,0.895723,grade_fallback,45871
C,home_improvement,0.894318,segment,2410
C,house,0.895723,grade_fallback,45871
C,major_purchase,0.899671,segment,724
C,medical,0.895723,grade_fallback,45871
C,moving,0.895723,grade_fallback,45871
C,other,0.892899,segment,2065
C,renewable_energy,0.895723,grade_fallback,45871
C,small_business,0.895723,grade_fallback,45871
C,vacation,0.895723,grade_fallback,45871
C,wedding,0.895723,grade_fallback,45871
D,car,0.896474,grade_fallback,35440
D,credit_card,0.897502,segment,5477
D,debt_consolidation,0.897075,segment,23252
D,educational,0.896474,grade_fallback,35440
D,home_improvement,0.892663,segment,1687
D,house,0.896474,grade_fallback,35440
D,major_purchase,0.898637,segment,613
D,medical,0.896474,grade_fallback,35440
D,moving,0.896474,grade_fallback,35440
D,other,0.890616,segment,2218
D,renewable_energy,0.896474,grade_fallback,35440
D,small_business,0.903247,segment,679
D,vacation,0.896474,grade_fallback,35440
D,wedding,0.896474,grade_fallback,35440
E,car,0.896647,grade_fallback,22740
E,credit_card,0.89939,segment,2649
E,debt_consolidation,0.8961,segment,15411
E,educational,0.896647,grade_fallback,22740
E,home_improvement,0.901824,segment,1191
E,house,0.896647,grade_fallback,22740
E,major_purchase,0.896647,grade_fallback,22740
E,medical,0.896647,grade_fallback,22740
E,moving,0.896647,grade_fallback,22740
E,other,0.889923,segment,1497
E,renewable_energy,0.896647,grade_fallback,22740
E,small_business,0.902666,segment,607
E,vacation,0.896647,grade_fallback,22740
E,wedding,0.896647,grade_fallback,22740
F,car,0.893471,grade_fallback,8758
F,credit_card,0.889796,segment,691
F,debt_consolidation,0.894147,segment,5879
F,educational,0.893471,grade_fallback,8758
F,home_improvement,0.893471,grade_fallback,8758
F,house,0.893471,grade_fallback,8758
F,major_purchase,0.893471,grade_fallback,8758
F,medical,0.893471,grade_fallback,8758
F,moving,0.893471,grade_fallback,8758
F,other,0.889142,segment,739
F,renewable_energy,0.893471,grade_fallback,8758
F,small_business,0.893471,grade_fallback,8758
F,vacation,0.893471,grade_fallback,8758
F,wedding,0.893471,grade_fallback,8758
G,car,0.892509,grade_fallback,2274
G,credit_card,0.892509,grade_fallback,2274
G,debt_consolidation,0.89106,segment,1407
G,educational,0.892509,grade_fallback,2274
G,home_improvement,0.892509,grade_fallback,2274
G,house,0.892509,grade_fallback,2274
G,major_purchase,0.892509,grade_fallback,2274
G,medical,0.892509,grade_fallback,2274
G,moving,0.892509,grade_fallback,2274
G,other,0.892509,grade_fallback,2274
G,renewable_energy,0.892509,grade_fallback,2274
G,small_business,0.892509,grade_fallback,2274
G,vacation,0.892509,grade_fallback,2274
G,wedding,0.892509,grade_fallback,2274
