bin,bin_low,bin_high,n,pred_pd_pre_lr,obs_rate_pre_lr,pred_pd_post_lr,obs_rate_post_lr,pred_pd_pre_xgb,obs_rate_pre_xgb,pred_pd_post_xgb,obs_rate_post_xgb
1,0.015351,0.058957,35309,0.041544,0.048713,0.101848,0.048713,0.033824,0.047467,0.104516,0.047467
2,0.058957,0.090394,35308,0.075333,0.094851,0.121089,0.094851,0.069365,0.092982,0.122819,0.092982
3,0.090394,0.115903,35308,0.103328,0.129829,0.139318,0.129829,0.097823,0.129036,0.139419,0.129036
4,0.115903,0.140499,35308,0.128216,0.165118,0.157439,0.165118,0.124095,0.165005,0.156406,0.165005
5,0.1405,0.166552,35309,0.15331,0.199071,0.177622,0.199071,0.151725,0.19454,0.176062,0.19454
6,0.166553,0.196383,35308,0.180984,0.232384,0.202186,0.232384,0.182505,0.231817,0.2002,0.231817
7,0.196383,0.233704,35308,0.214246,0.269599,0.234976,0.269599,0.219267,0.273819,0.232191,0.273819
8,0.233707,0.284079,35308,0.257265,0.31888,0.28259,0.31888,0.267791,0.319219,0.279651,0.319219
9,0.28408,0.367385,35308,0.321176,0.370681,0.363145,0.370681,0.341063,0.369605,0.36155,0.369605
10,0.367389,0.681662,35309,0.452794,0.496729,0.546481,0.496729,0.496195,0.502365,0.553523,0.502365
