bin,n,bin_low,bin_high,pred_pd,obs_rate,difference
1,35309,0.015351,0.058957,0.041544,0.048713,-0.007169
2,35308,0.058957,0.090394,0.075333,0.094851,-0.019518
3,35308,0.090394,0.115903,0.103328,0.129829,-0.026501
4,35308,0.115903,0.140499,0.128216,0.165118,-0.036903
5,35309,0.1405,0.166552,0.15331,0.199071,-0.045761
6,35308,0.166553,0.196383,0.180984,0.232384,-0.0514
7,35308,0.196383,0.233704,0.214246,0.269599,-0.055353
8,35308,0.233707,0.284079,0.257265,0.31888,-0.061615
9,35308,0.28408,0.367385,0.321176,0.370681,-0.049504
10,35309,0.367389,0.681662,0.452794,0.496729,-0.043935
