bin,n,bin_low,bin_high,pred_pd,obs_rate,difference
1,35309,0.006762,0.052898,0.033824,0.047467,-0.013643
2,35308,0.052899,0.084506,0.069365,0.092982,-0.023617
3,35308,0.084506,0.110858,0.097823,0.129036,-0.031213
4,35308,0.110859,0.137602,0.124095,0.165005,-0.04091
5,35309,0.137602,0.166397,0.151725,0.19454,-0.042814
6,35308,0.166397,0.199647,0.182505,0.231817,-0.049312
7,35308,0.199647,0.240805,0.219267,0.273819,-0.054552
8,35308,0.240806,0.298035,0.267791,0.319219,-0.051429
9,35308,0.298035,0.395724,0.341063,0.369605,-0.028541
10,35309,0.395726,0.759659,0.496195,0.502365,-0.00617
